Entity,Code,Year,UIS: Percentage of population age 25+ with at least completed lower secondary education (ISCED 2 or higher). Total
Afghanistan,AFG,1975,4.099979877471919
Afghanistan,AFG,1979,4.14899015426636
Albania,ALB,2001,75.7340469360352
Albania,ALB,2008,81.733787536621
Albania,ALB,2011,85.226219177246
Albania,ALB,2012,87.2148971557617
Algeria,DZA,1971,2.52578997612
Algeria,DZA,2006,24.152860641479503
Algeria,DZA,2008,47.304988861084006
Andorra,AND,2003,42.303871154785206
Andorra,AND,2004,51.4541816711426
Andorra,AND,2005,43.9101715087891
Andorra,AND,2006,49.9506492614746
Andorra,AND,2014,72.84458923339841
Andorra,AND,2015,72.5006103515625
Argentina,ARG,1970,19.2999992370605
Argentina,ARG,1980,26.5
Argentina,ARG,1991,37.3563194274902
Argentina,ARG,2001,45.8916893005371
Argentina,ARG,2003,56.3756790161133
Armenia,ARM,2001,91.07919311523442
Armenia,ARM,2011,96.5997772216797
Armenia,ARM,2015,97.2224578857422
Aruba,ABW,1991,46.092380523681605
Aruba,ABW,2000,55.992431640625
Aruba,ABW,2010,60.799690246582
Australia,AUS,1971,69.8000030517578
Australia,AUS,2004,89.7376022338867
Australia,AUS,2005,90.8543014526367
Australia,AUS,2006,91.1406707763672
Australia,AUS,2007,91.72463989257808
Australia,AUS,2008,92.3343505859375
Australia,AUS,2009,92.238670349121
Australia,AUS,2010,93.1995315551758
Australia,AUS,2011,93.6081008911133
Australia,AUS,2012,94.4489364624023
Australia,AUS,2013,91.0807723999023
Australia,AUS,2014,91.45050048828129
Australia,AUS,2015,92.6785736083984
Austria,AUT,2014,98.9232177734375
Azerbaijan,AZE,1999,92.83788299560551
Azerbaijan,AZE,2007,92.67681884765629
Azerbaijan,AZE,2008,92.71167755126949
Azerbaijan,AZE,2009,95.46668243408199
Azerbaijan,AZE,2010,95.5677337646484
Azerbaijan,AZE,2011,95.5558395385742
Azerbaijan,AZE,2012,95.5698623657227
Azerbaijan,AZE,2013,95.5914993286133
Azerbaijan,AZE,2014,95.60781860351558
Azerbaijan,AZE,2015,95.60848999023442
Bahamas,BHS,1990,71.1420135498047
Bahamas,BHS,2000,90.1050186157227
Bahamas,BHS,2010,89.1371307373047
Bahrain,BHR,1971,13
Bahrain,BHR,1991,35.4000015258789
Bahrain,BHR,2001,68.3372268676758
Bahrain,BHR,2010,54.896270751953104
Bangladesh,BGD,1974,7.6950798034667995
Bangladesh,BGD,1981,12.86266040802
Bangladesh,BGD,2001,26.714729309082
Barbados,BRB,1970,65.3000030517578
Barbados,BRB,1980,66.8032379150391
Barbados,BRB,2000,78.1039276123047
Belarus,BLR,1970,34.8375015258789
Belarus,BLR,1989,58.358360290527294
Belarus,BLR,2009,91.9017486572266
Belgium,BEL,1970,33.8746490478516
Belgium,BEL,2006,76.7874526977539
Belgium,BEL,2008,78.32391357421879
Belgium,BEL,2009,79.42991638183591
Belgium,BEL,2010,79.641487121582
Belgium,BEL,2011,80.1013717651367
Belgium,BEL,2012,80.2901916503906
Belgium,BEL,2013,81.5879287719727
Belgium,BEL,2014,82.3405380249023
Belgium,BEL,2015,84.3579177856445
Belize,BLZ,1970,9.26307964324951
Belize,BLZ,1980,14
Belize,BLZ,1991,21.7915992736816
Belize,BLZ,2005,24.8250007629395
Belize,BLZ,2010,83.9347686767578
Benin,BEN,1979,2.50004005432129
Benin,BEN,1992,9.56083965301514
Benin,BEN,2002,14.3174495697021
Bermuda,BMU,1970,54.2000007629395
Bermuda,BMU,1991,81.3138198852539
Bermuda,BMU,2000,91.3275833129883
Bhutan,BTN,2012,9.59809970855713
Bolivia,BOL,1976,22.899999618530302
Bolivia,BOL,1992,44.687839508056605
Bolivia,BOL,2001,45.1449317932129
Bolivia,BOL,2006,42.133819580078104
Bolivia,BOL,2008,44.6203689575195
Bolivia,BOL,2009,46.93241882324221
Bolivia,BOL,2012,51.923828125
Bosnia and Herzegovina,BIH,2010,56.919528961181605
Bosnia and Herzegovina,BIH,2011,56.832649230957
Botswana,BWA,1971,3.0926499366760294
Brazil,BRA,1970,11.5215101242065
Brazil,BRA,1976,10
Brazil,BRA,1980,11.8010997772217
Brazil,BRA,2004,42.4081993103027
Brazil,BRA,2006,45.456329345703104
Brazil,BRA,2007,47.607921600341705
Brazil,BRA,2008,49.5485992431641
Brazil,BRA,2009,50.0992317199707
Brazil,BRA,2010,50.61518859863279
Brazil,BRA,2011,53.598171234130895
Brazil,BRA,2012,54.6340217590332
Brazil,BRA,2013,55.8442993164063
Brazil,BRA,2014,56.330718994140604
British Virgin Islands,VGB,1980,31.7880802154541
British Virgin Islands,VGB,1991,55.546779632568395
Brunei,BRN,1971,19.4962100982666
Brunei,BRN,1981,39.592979431152294
Bulgaria,BGR,1975,25.872289657592802
Bulgaria,BGR,1992,50.7585601806641
Bulgaria,BGR,2001,87.8617935180664
Bulgaria,BGR,2006,91.25402069091801
Bulgaria,BGR,2007,91.9721832275391
Bulgaria,BGR,2008,92.16161346435551
Bulgaria,BGR,2009,92.57821655273442
Bulgaria,BGR,2010,93.21961212158199
Bulgaria,BGR,2011,93.7353286743164
Bulgaria,BGR,2012,94.30368041992192
Bulgaria,BGR,2013,94.3266372680664
Bulgaria,BGR,2014,94.2451629638672
Bulgaria,BGR,2015,94.81500244140629
Burkina Faso,BFA,2006,7.9381599426269505
Burkina Faso,BFA,2007,2.03617000579833
Burkina Faso,BFA,2014,8.48834991455078
Burundi,BDI,1990,3.1232700347900404
Burundi,BDI,2014,5.9290299415588406
Cambodia,KHM,2007,15.2122201919556
Cambodia,KHM,2008,16.952880859375
Cambodia,KHM,2009,15.5047702789307
Cameroon,CMR,1976,4.72077989578247
Cameroon,CMR,2010,36.228099822998
Canada,CAN,1970,60.2000007629395
Canada,CAN,1972,63.4605102539063
Canada,CAN,1976,67.5
Canada,CAN,1981,74.26551818847659
Canada,CAN,1986,78.871726989746
Canada,CAN,1991,83.6178283691406
Cape Verde,CPV,2015,29.351659774780302
Cayman Islands,CYM,1970,18.1000003814697
Cayman Islands,CYM,1989,54.6899490356445
Cayman Islands,CYM,2004,78.6636276245117
Cayman Islands,CYM,2005,83.9359817504883
Cayman Islands,CYM,2006,81.10545349121091
Cayman Islands,CYM,2007,91.9989166259766
Cayman Islands,CYM,2008,91.40808868408199
Cayman Islands,CYM,2014,94.79302978515629
Cayman Islands,CYM,2015,95.25145721435551
Central African Republic,CAF,1988,9.445929527282711
Chile,CHL,1970,30.399999618530302
Chile,CHL,1982,34.0444183349609
Chile,CHL,2004,76.0035018920898
Chile,CHL,2007,75.8403015136719
Chile,CHL,2008,74.4059677124023
Chile,CHL,2009,78.4082794189453
Chile,CHL,2010,75.04583740234379
Chile,CHL,2011,72.8394470214844
Chile,CHL,2013,76.164939880371
China,CHN,1982,22.799280166626
China,CHN,1990,36.4000015258789
China,CHN,2000,52.2603607177734
China,CHN,2010,65.3229217529297
Colombia,COL,1973,15.900639533996598
Colombia,COL,1993,41.271171569824205
Colombia,COL,2004,36.3357810974121
Colombia,COL,2005,40.987419128418004
Colombia,COL,2006,37.882228851318395
Colombia,COL,2007,41.927070617675795
Colombia,COL,2008,43.208831787109396
Colombia,COL,2009,42.7785987854004
Colombia,COL,2010,44.155338287353494
Colombia,COL,2011,45.3533592224121
Colombia,COL,2012,46.4073486328125
Colombia,COL,2013,48.1389389038086
Colombia,COL,2014,49.4626617431641
Colombia,COL,2015,50.3342514038086
Congo,COG,1984,19.7202091217041
